"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Country = TURKEY""]"																																						
	-282								"TURKEY:  LYSIMACHIA"	41	27			10																								
	11								"TURKEY"	37.8	27.4			10																								
	17								"TURKEY:  IZMIR, EFES, AYDIN, MANISA, ALASEHIR, SART"	37.85	27.3			10								3												3				
	29								"TURKEY:  IZNIK,IZMIT"	40.5	28.9			9								3		3										3		3		
	37	4	9						"TURKEY:  ANTAKYA (ANTIOCH)"	36.1	36.1					3						4						3						4				
	52								"TURKEY:  ANTAKYA (ANTIOCH)"	36.1	36.1			9								3																
	60								"TURKEY:  LAODICEA, HIERAPOLIS, COLOSSAE, [PAMUKKALE]"	37.9	29.2			9								3												3				
	68						5780		"TURKEY:  DEMRE"	36.217	30.017																											
	93								"TURKEY:  HELLESPONT"	40.6	26.7					3						3																
	105								"TURKEY"	39.5	27			10																								
	109								"TURKEY:  GALATIA"	40	34											3		3										3		3		
	115	12	13				4396		"TURKEY:  ANTAKYA (ANTIOCH)"	36.1	36.1		7.5	11	260000	4						4					260000	4						4				
	120						3096		"TURKEY: NICOMEDIA, NICAEA"	40.77	29.92		7.2	9		3						2		3				3						2		3		
	177								"TURKEY: IZMIR, AEGEAN ISLANDS"	38.6	26.65			7		3						2						3						2				
	253	7	9						"TURKEY"	39.1	27.2			10																								
	262						31		"TURKEY:  S COASTS; LIBYA"	36.6	30					3						2		3				3						2		3		
	340								"TURKEY:  ANTAKYA (ANTIOCH)"	36.1	36.1			9								3																
	341								"TURKEY:  ANTAKYA (ANTIOCH)"	36.2	36.1			7																								
	342								"TURKEY:  ANTAKYA (ANTIOCH)"	36.2	36.1				40000	4						4					40000	4						4				
	344						35		"TURKEY:  DARDANELLES"	40.3	26.5			9								3												3				
	350	10							"TURKEY"	41	30			10																								
	355								"TURKEY:  IZMIT,NICOMEDIA"	40.7	29.7			9								3																
	358	8	24				2314		"TURKEY:  IZNIK, IZMIT [NICOMEDIA]"	40.77	29.9			7		3						3						3						3		3		
	362	12	2						"TURKEY"	41	29.5			10																								
	367	10	11						"TURKEY:  IZNIK,NICAEA"	40.7	29.7				1000	3						3																
	368	10	11						"TURKEY:  NICAEA [IZNIK]"	40	29											3												3				
	368						3475		"TURKEY:  MARMARA SEA"	40.5	29.6		6.4	8								2												2				
	394								"TURKEY:  ANTAKYA (ANTIOCH)"	36.1	36.1			9								3																
	396								"TURKEY:  ANTAKYA (ANTIOCH)"	36.1	36.1			9								3																
