"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Country = RUSSIA""]"																																													
	1597	6	18				3	8				0	"RUSSIA"	"VOLGA RIVER"	56.27	44.14		0																							1				
	1737	10	16	16	0		4	1				2	"RUSSIA"	"KAMCHATKA"	51.1	158	15.24	7		4.5	4	3	1						1		3			100	2						1		3		
	1737	12	17				-1	1	7.5			0	"RUSSIA"	"KAMCHATKA"	50	157		0																											
	1742	11	18				3	1	7			0	"RUSSIA"	"N. KURIL ISLANDS"	51.5	157		0		1	1.5																								
	1780	6	18				-1	1				0	"RUSSIA"	"S. KURIL ISLANDS"				0				12	1																						
	1780	6	29				4	1	7.5			0	"RUSSIA"	"S. KURIL ISLANDS"	45.3	151.2	12	6		3.6	3	12	1						1		1			12	1						1		1		
	1791	4	15				1	1	6.8			0	"RUSSIA"	"KAMCHATKA"	56	163		1																											
	1792	8	22	18			1	1	8.4			1	"RUSSIA"	"KAMCHATKA"	54	162		0			2																								
	1827	8	9				3	4		2882		1	"RUSSIA"	"KAMCHATKA"	53	158.5		2			1.5																				1				
	1841	5	17	21	30		4	1	8.4			1	"RUSSIA"	"KAMCHATKA"	52	158	15	7		3.9	3								1												2				
	1848	6					1	0				0	"RUSSIA"	"KAMCHATKA"				0																											
	1849	9	28	9			4	1				0	"RUSSIA"	"KAMCHATKA"	55	166		4																							1		1		
	1853	11					1	1				0	"RUSSIA"	"S. KURIL ISLANDS"	47	152		2		2	2																								
	1854	6	27				-1	1	7			0	"RUSSIA"	"N. KURIL ISLANDS"	51	158		0			2																								
	1854	7	9				4	6		2840		0	"RUSSIA"	"N. KURIL ISLANDS"	50.9	155.5		0																											
	1862	1	12	7	19		2	3	7.5			0	"RUSSIA"	"LAKE BAYKAL (BAIKAL)"	52.3	106.7		0																							3				
	1878	10	11				1	0				0	"RUSSIA"	"TATAR STRAIT"				0																											
	1893	6	4	2	27	0	4	1	7			0	"RUSSIA"	"S. KURIL ISLANDS"	43.3	147.5	2.5	3		1.6	1.5																								
	1904	6	25	14	45	36	4	1	8.3			0	"RUSSIA"	"KAMCHATKA PENINSULA, RUSSIA"	52	159		1		1	2																								
	1904	6	25	21	0	36	3	1	8.1			0	"RUSSIA"	"KAMCHATKA PENINSULA, RUSSIA"	52	159		0		1																									
	1905	10	4	22	29		4	1	5.1			0	"RUSSIA"	"BLACK SEA"	44.5	37.5	0.5	1		-1	2																								
	1909	4	8	0	30		2	0				0	"RUSSIA"	"BLACK SEA"	44.2	38.1	4	0																											
	1917	1	30	2	45	36	2	1	7.8			0	"RUSSIA"	"KAMCHATKA"	56.5	163		0																											
	1918	9	7	17	16		4	1	8.2			0	"RUSSIA"	"S. KURIL ISLANDS"	45.5	151.5	12	22		3.6	3	23	1			7	1		2		2	19	1	23	1			7	1		2		2	19	1
	1918	11	8	4	38		4	1	7.8			0	"RUSSIA"	"S. KURIL ISLANDS"	44.5	151.5	0.5	8		1	2																								
	1923	2	3	16	1	50	4	1	8.4			1	"RUSSIA"	"KAMCHATKA"	54.486	160.472	8	21		3		3	1					1.5	2					3	1					1.5	2		2		
	1923	4	13	15	31	2	4	1	7.2			1	"RUSSIA"	"KAMCHATKA"	56.5	162.5	20	11		4.9	3.5	18	1						3		3			18	1						3		3		
	1924	3	15	10	31	24.1	1	1	6.8			0	"RUSSIA"	"TATAR STRAIT"	49.179	142.436		1											1												1				
	1924	4	13				-1	0				0	"RUSSIA"	"TATAR STRAIT"				0																											
	1924	4	16				-1	0				0	"RUSSIA"	"TATAR STRAIT"				0																											
	1927	12	28	18	20	34.2	4	1	7.5			0	"RUSSIA"	"KAMCHATKA"	55.663	160.039	2	2		1																									
	1933	1	8	16			4	4	6	2822		1	"RUSSIA"	"KHARIMKOTAN, N. KURIL ISLANDS"	49.12	154.508	9	2		3.2	2	2	1											2	1										
	1936	11	13	12	31		2	1	7.3			0	"RUSSIA"	"KAMCHATKA"	55.2	164	13	1		3.7	2																								
	1937	9	21	21	2	0	3	1	5.7			0	"RUSSIA"	"KAMCHATKA"	56	162.5		0			1																								
	1937	9	22				1	0	5.8			0	"RUSSIA"	"KAMCHATKA"	58	165		0																											
	1946	11	13	6			3	6		7044		0	"RUSSIA"	"N. KURIL ISLANDS"	48.092	153.2		0																											
	1949	1	27	11	0	0	4	1	5.9			0	"RUSSIA"	"KAMCHATKA"	54.6	163.5		1																											
	1952	11	4	16	58	27.9	4	1	9			6	"RUSSIA"	"KAMCHATKA"	52.755	160.057	23	331		4.2	4	10000	4					1	2					10000	4					1	2				
	1953	3	17	13	4		3	1	5.8			0	"RUSSIA"	"N. KURIL ISLANDS"	50	156.5	3	1		0.6																									
	1956	3	30	6	11		2	6		2952		1	"RUSSIA"	"KAMCHATKA"	55.978	160.587	0.3	13		-0.7	-2																								
