"Search Parameters"	"Year"	"Mo"	"Dy"	"Tsu"	"Eq"	"Name"	"Location"	"Country"	"Latitude"	"Longitude"	"Elevation (m)"	"Type"	"VEI"	"Agent"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"
"[""Region = 13 - Hawaii and Pacific Ocean""]"																																		
	1784					"Hualalai"	"Hawaiian Is"	"United States"	19.692	-155.87	2523	"Shield volcano"	0	"L"		1										1								
	1790	11				"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"	4	"P"	5405	4									5405	4								
	1800					"Hualalai"	"Hawaiian Is"	"United States"	19.692	-155.87	2523	"Shield volcano"	0	"L"	2	1									2	1								
	1823	2				"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"	0	"L"		1										1								
	1840	5	30	714		"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"	0									1										1		
	1868	4	3	971	2125	"Mauna Loa"	"Hawaiian Is"	"United States"	19.475	-155.608	4170	"Shield volcano"	2	"W,M"								1	37	1	77	2						2		3
	1877	2	14	1068	10023	"Mauna Loa"	"Hawaiian Is"	"United States"	19.475	-155.608	4170	"Shield volcano"	0																					
	1919	9	29	1478		"Mauna Loa"	"Hawaiian Is"	"United States"	19.475	-155.608	4170	"Shield volcano"	0																					
	1924	5	10			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"	2	"T"	1	1									1	1								
	1975	11	29	2080	4704	"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"	0	"W"											2	1				1	4	2		
	1993	4	19			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"		"A"	1	1			22	1					1	1			22	1				
	1994	7	8	5926		"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"	3	"W"																				
	1998	4	28			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"		"L"	1	1																		
	2000	11	3			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"		"G"	2	1									2	1								
	2009	11	30			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"										2										2		
	2012	2	10			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"										2										2		
	2012	3	2			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"		"L"								1	1	1										
	2014	11	10			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"									14.5	3	1	1							14.5	3	1	1
	2018	2	1			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"	1	"G"	1	1			3	1					1	1			3	1				
	2018	4	28	5678	10332	"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"	1	"L"					1	1	370	4	716	3					1	1	370	4	716	3
	2018	7	16			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"		"T"					23	1	1	1							23	1	1	1		
